chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,rms,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,spectral_rolloff,poly_features,tonnetz,zero_crossing_rate,tempogram
[0.69447008 0.85382085 0.67931299 ... 0.44769491 0.54546815 0.73209133],[0.51719581 0.79530834 0.83491448 ... 0.40110541 0.39788017 0.37478577],[0.2640206  0.26340381 0.26293787 ... 0.26835564 0.26714703 0.2658094 ],"[2.33061095e-05 5.16597351e-01 1.10117396e+01 ... 1.15843606e+01
 8.16281835e+00 6.00312448e+00]","[-25.06544969  -2.72205631   5.75509297 ...   8.36472514   7.60711934
   7.69533256]",[0.00494008 0.15735053 0.2391838  ... 0.23830804 0.19458377 0.18246807],"[4089.643898   2550.94272818 2725.32008475 ... 1282.16984575 1407.31153168
 1663.49670178]","[3149.93783582 2984.74167964 3004.28320733 ... 1858.71441482 1963.18809688
 2274.90032291]","[23.44473173 17.5754516  16.01760231 ... 20.89015774 17.38228754
 17.39295597]",[0.09460534 0.02433542 0.02623911 ... 0.00118061 0.00249889 0.00537198],"[8031.88476562 6287.6953125  6589.16015625 ... 2896.21582031 2960.81542969
 3757.54394531]",[0.00582664 0.60685058 2.63514059 ... 2.27297466 2.00610047 1.84804588],"[-0.04716508 -0.00515648  0.00084977 ... -0.02173777 -0.01329816
  0.00338435]",[0.2890625  0.31542969 0.33105469 ... 0.03125    0.04150391 0.03222656],[0.02517161 0.02551342 0.02586129 ... 0.21161128 0.21217942 0.21274925]
[0.51340917 0.52387724 0.31177559 ... 0.36158976 0.38078213 0.44478631],[0.53193039 0.74408549 0.714532   ... 0.5039352  0.51203332 0.5247687 ],[0.25171184 0.24992984 0.24822612 ... 0.25048322 0.25070792 0.2509574 ],"[1.19188308e-07 2.16031818e-04 4.21097495e-03 ... 1.24278038e+00
 1.38941274e+00 1.35824425e+00]","[-26.47042749 -25.86675805 -21.20918126 ...   0.75030029   0.79703091
   1.53881742]",[0.00032179 0.00309663 0.0043506  ... 0.06989474 0.07502154 0.07658306],"[2687.43362569 1977.00647055 1650.09180299 ...  522.32555355  731.40156574
 1091.39193272]","[2773.24226772 2316.89400036 2112.75667053 ...  971.43002735 1472.64324548
 1977.61345732]","[24.28184683 13.85024919 14.30937736 ... 23.67050131 17.41815162
 18.55651376]","[2.4538839e-02 2.0371860e-02 6.5654013e-03 ... 4.5890076e-05 3.8121743e-04
 1.3985818e-03]","[6104.66308594 4403.54003906 3434.54589844 ...  936.69433594 1141.25976562
 2013.35449219]","[4.15819178e-04 1.68448980e-02 5.53814383e-02 ... 6.41330821e-01
 6.50063579e-01 7.25635561e-01]","[ 0.02003005  0.01306998  0.00994267 ...  0.01256452  0.01119473
 -0.00021272]",[0.25683594 0.27539062 0.28710938 ... 0.02734375 0.02197266 0.01416016],[0.08738454 0.08851761 0.08966331 ... 0.14780922 0.1479328  0.14806636]
[0.46608993 0.89178156 0.67363236 ... 0.26778059 0.68801308 0.61717752],[0.46303449 0.64467735 0.7220787  ... 0.54881228 0.51776627 0.51749342],[0.27625307 0.27632424 0.27621882 ... 0.25097396 0.24947313 0.24807286],"[5.89404963e-06 5.18157774e-01 1.32988364e+01 ... 3.97027999e+00
 5.94609860e+00 4.22728597e+00]","[-25.3948229    0.620023     7.70817763 ...   4.73562097   5.86436736
   5.90623221]",[0.00191943 0.17308596 0.25411016 ... 0.167029   0.14898968 0.15039536],"[3425.13567519 2367.43026028 2375.31687261 ... 3660.40449946 1602.08226491
 1452.61306802]","[3126.48002034 3028.54827851 3059.42072126 ... 2736.83662767 2247.10927365
 2259.63746923]","[24.46523514 13.79607876 14.56921724 ... 21.52832626 18.08954548
 17.62348159]",[0.022173   0.0108665  0.00515426 ... 0.00654231 0.0006561  0.00142717],"[7655.05371094 6879.85839844 6836.79199219 ... 6406.12792969 4532.73925781
 4102.07519531]",[0.00284219 0.52216886 1.94937951 ... 1.06947769 0.97780256 0.98566573],"[-0.02758193 -0.00773705 -0.0048455  ... -0.01645475 -0.01141735
 -0.00525586]",[0.24853516 0.27880859 0.28125    ... 0.11865234 0.07861328 0.0234375 ],[0.04136254 0.04168807 0.04201548 ... 0.0659348  0.06559137 0.06524999]
[0.412771   0.90582056 0.81504959 ... 0.60927864 0.6501713  0.65805007],[0.47905705 0.69159171 0.64988537 ... 0.44663813 0.37961091 0.3527751 ],[0.24439223 0.24397838 0.24384482 ... 0.27277116 0.27067073 0.26846178],"[4.57883583e-06 2.14059499e-02 2.93845089e-01 ... 1.77620359e+01
 7.73360638e+00 2.92776703e+00]","[-25.12928106  -7.5335275   -2.67884253 ...   3.60681825   3.23130503
   3.86633512]",[0.00163628 0.02356116 0.02912838 ... 0.29005626 0.21292427 0.16301908],"[2941.04528407 1760.05716823 1493.44600331 ...  390.41333985  624.23755843
 1097.07488557]","[2770.62000638 2301.9329361  2166.16242214 ... 1313.4209652  1651.82173642
 2147.91558143]","[25.35905367 12.9607435  11.82653242 ... 20.03129571 16.00615907
 16.77492312]","[1.5673745e-02 7.6730340e-03 3.8287591e-03 ... 1.5675923e-05 8.5852429e-05
 8.7224215e-04]","[6341.52832031 4080.54199219 3563.74511719 ...  129.19921875  947.4609375
 2368.65234375]",[0.00252581 0.15009142 0.45469285 ... 0.96530513 0.74072552 0.79184071],"[ 0.04904545  0.00405818 -0.00995521 ... -0.04392659 -0.07774381
 -0.1009967 ]",[0.27539062 0.28662109 0.28857422 ... 0.00439453 0.01855469 0.01708984],[0.05767058 0.05840861 0.05915556 ... 0.0543539  0.05404046 0.05372854]
[0.58514092 0.72315209 0.57059061 ... 0.44607584 0.51834511 0.44323058],[0.49192411 0.60992597 0.60373607 ... 0.67682758 0.66109775 0.65644865],[0.21845041 0.21783265 0.21730339 ... 0.25287608 0.25511719 0.25754251],"[2.24937698e-08 5.59243147e-04 1.06994562e-02 ... 3.88294151e-01
 2.89959058e-01 1.56390044e-01]","[-25.42988282 -17.24568848 -10.99034589 ...  -2.41779629  -2.10246764
  -2.39062207]",[0.00012441 0.00436359 0.00684464 ... 0.04492176 0.03379974 0.03232133],"[4044.95278238 1577.06157875 1215.33311043 ... 1227.76395539 1178.85854884
 1524.37659522]","[3262.16559116 2208.03089404 1949.9694986  ... 1770.34729532 1795.98743833
 2227.57306626]","[24.68323754 10.76816881 12.90245488 ... 18.86947078 17.78091117
 17.20779625]",[0.04434142 0.00496243 0.00149325 ... 0.0023891  0.00289164 0.00625523],"[8419.48242188 3854.44335938 2896.21582031 ... 2400.95214844 2228.68652344
 3036.18164062]","[1.52763744e-04 2.01763718e-02 6.96008812e-02 ... 5.12007940e-01
 4.61548399e-01 3.66641794e-01]","[ 0.04727316  0.02021638 -0.00473972 ... -0.02221976 -0.018356
 -0.0199994 ]",[0.32373047 0.34033203 0.34667969 ... 0.04199219 0.0546875  0.04443359],[0.07435578 0.07510986 0.07586774 ... 0.09347668 0.09301482 0.09255751]
[0.61369348 0.71421345 0.79279575 ... 0.68874661 0.68256995 0.66549587],[0.55888598 0.75263651 0.82366414 ... 0.53870925 0.53238402 0.48020504],[0.26907029 0.26785498 0.26665468 ... 0.27876153 0.27828804 0.27779838],"[2.84828543e-05 4.19869091e-01 1.77588738e+01 ... 3.70379345e+01
 3.97404498e+01 3.26788314e+01]","[-23.29585012  -0.48463101   8.18871741 ...  11.76608907  11.93025787
  10.65568108]",[0.00486863 0.20221432 0.26790917 ... 0.36203042 0.39109662 0.39392856],"[3303.18214599 1473.61096729 1024.85362694 ... 1959.16356959 1690.79985907
 1767.23079271]","[2802.17877067 1992.30775126 1651.80779157 ... 2565.05885993 2633.49392619
 2760.39255064]","[26.39480871 16.85718689 15.34841855 ... 17.75011019 18.09446054
 18.42649225]",[0.02418346 0.00375831 0.00097999 ... 0.0062699  0.0030304  0.00183365],"[6879.85839844 3186.9140625  2487.08496094 ... 4489.67285156 4403.54003906
 4952.63671875]",[0.00668085 0.64255656 3.19731837 ... 3.91003005 3.47271743 2.59662206],"[-0.06998424 -0.01984844 -0.0030913  ...  0.03191004  0.02804381
  0.03743165]",[0.27636719 0.28857422 0.29101562 ... 0.04101562 0.046875   0.03417969],[0.04246197 0.04286169 0.04326496 ... 0.07363487 0.07354105 0.07345008]
[0.59154398 0.69427276 0.46687218 ... 0.73284022 0.57980423 0.6894079 ],[0.58822268 0.66987278 0.7341212  ... 0.42107041 0.44468633 0.43076541],[0.27826355 0.27808364 0.27782705 ... 0.23222921 0.22965407 0.226936  ],"[4.06281903e-08 1.27629428e-04 2.70456431e-03 ... 3.59970896e+00
 2.21192375e+00 1.20928763e+00]","[-26.69708051 -23.44523937 -17.68176219 ...   6.12858217   4.55559931
   2.6523133 ]",[0.00015778 0.00249292 0.00409133 ... 0.12428795 0.10153922 0.0934775 ],"[2967.94768195 2117.65331399 1659.65228218 ... 2837.01307776 2967.05485408
 2979.0818973 ]","[2942.87670726 2589.68390727 2360.42371479 ... 2965.23004136 3003.06131105
 3014.10930724]","[23.88122268 13.74897662 14.1150113  ... 19.23868928 18.17012693
 16.65911909]",[0.0316415  0.0204586  0.00654509 ... 0.01673395 0.02622078 0.02854503],"[6890.625      4672.70507812 3832.91015625 ... 6459.9609375  6513.79394531
 6567.62695312]","[2.33929385e-04 1.22198104e-02 4.39719153e-02 ... 1.25472117e+00
 1.14710484e+00 9.38154668e-01]","[ 0.01198731  0.00306956  0.00321145 ... -0.0067388  -0.03864243
 -0.0601843 ]",[0.30029297 0.31982422 0.32861328 ... 0.09570312 0.09570312 0.06689453],[0.03815296 0.03868352 0.03922339 ... 0.09601457 0.0960507  0.09609089]
[0.53796413 0.85901826 0.58609641 ... 0.30311152 0.22040054 0.30809696],[0.52900669 0.71890843 0.82124138 ... 0.41687202 0.31498942 0.5176954 ],[0.28359304 0.28398811 0.28438182 ... 0.22012917 0.22160662 0.22308643],"[5.45862125e-07 4.30120520e-01 7.22264359e+00 ... 5.37011643e-01
 8.52324247e-01 4.97451753e-01]","[-27.86051878  -0.04136206   6.42955458 ... -14.7124379  -12.79602248
  -9.40380085]",[0.00076154 0.12554736 0.17899804 ... 0.05970003 0.04853369 0.05507527],"[4053.70338223 1550.41569958 1619.68196034 ...  394.35848629  454.47521685
  645.0537677 ]","[3285.45937895 2790.63856533 2856.931228   ...  493.65747567  889.18812859
 1329.97968216]","[22.15521209 11.84095478 14.55995343 ... 21.46740269 16.92423506
 14.91111573]","[4.1915435e-02 2.3223264e-03 1.7122880e-03 ... 3.1824288e-06 2.9230276e-05
 2.2383283e-04]","[7816.55273438 5846.26464844 6029.296875   ...  538.33007812  409.13085938
  570.62988281]","[7.45909169e-04 4.15127406e-01 1.39742254e+00 ... 3.31145389e-01
 3.81846751e-01 4.01602013e-01]","[ 0.01158016  0.01561145  0.00702799 ...  0.00824419 -0.02826976
 -0.01119916]",[0.29589844 0.32080078 0.32373047 ... 0.02929688 0.02294922 0.01611328],[0.05166866 0.05205658 0.05244517 ... 0.06765524 0.06728829 0.06692201]
[0.47526938 0.45699467 0.39610808 ... 0.31639861 0.25891236 0.41528979],[0.69434533 0.81813913 0.72857736 ... 0.64479776 0.67250805 0.82879079],[0.25921031 0.2581638  0.25714308 ... 0.27286379 0.27397879 0.27513342],"[1.75292460e-07 1.20152966e-02 2.27620896e-01 ... 3.73802966e-01
 3.48878552e-01 2.70108675e-01]","[-29.11718597 -12.11739103  -7.24177017 ...  -2.03948414  -2.51738119
  -3.42292256]",[0.00031113 0.02357357 0.02958473 ... 0.0465334  0.04092699 0.0406092 ],"[2938.6679537  1229.1773977  1242.3526702  ... 2683.45142625 2656.0532306
 2338.56630685]","[2502.55439841 1468.0128213  1461.69160454 ... 2516.72730753 2538.12138885
 2360.54096963]","[23.58725905 14.55404068 17.63382557 ... 18.8100682  19.14603287
 18.1384922 ]",[0.0297198  0.00332408 0.00185471 ... 0.04825922 0.04306884 0.03054247],"[5490.96679688 2045.65429688 2056.42089844 ... 5587.86621094 5587.86621094
 4834.20410156]","[5.29204526e-04 1.31472181e-01 4.89484703e-01 ... 8.02471592e-01
 7.30388967e-01 6.73195438e-01]","[ 0.02346521  0.01019423 -0.00227729 ...  0.01185951  0.00162202
  0.00404255]",[0.30615234 0.33105469 0.34423828 ... 0.14453125 0.12890625 0.08544922],[0.05099843 0.0516745  0.05236016 ... 0.11372856 0.11371401 0.11370486]
[0.86072907 0.44467941 0.4412303  ... 0.20933568 0.13590939 0.13200891],[0.37279205 0.61554652 0.79681988 ... 0.33626515 0.42627509 0.58080415],[0.28504767 0.28470311 0.28424398 ... 0.18612626 0.18423775 0.18255878],"[3.36041343e-10 1.79813736e-08 2.07209296e-07 ... 4.50471808e+00
 1.18288640e+00 5.91151393e-01]","[-25.4038905  -25.4038905  -25.4038905  ...  -2.800123    -5.44565718
 -11.65112277]","[7.6978476e-06 3.7205911e-05 4.4043078e-05 ... 1.3241184e-01 1.0359435e-01
 6.0833983e-02]","[5340.80285859 5455.04671012 5260.14527397 ...  422.78775228  841.28535255
 1625.83706673]","[3054.00394748 2936.91483357 3056.74548842 ...  718.03810971 1325.16687848
 1909.98053924]","[20.32511689 14.10549709 15.78280566 ... 23.34993317 19.19287745
 17.77947539]","[3.1120729e-01 3.4449187e-01 2.5581014e-01 ... 5.5106730e-06 1.9790481e-04
 1.5466181e-03]","[8936.27929688 8936.27929688 8925.51269531 ...  882.86132812  936.69433594
 2508.61816406]","[2.62092478e-05 1.99513004e-04 6.64933369e-04 ... 7.66692552e-01
 4.99544223e-01 3.96104910e-01]","[ 0.07622961  0.02939126  0.01114148 ... -0.01951992 -0.00501327
  0.00630724]",[0.3671875  0.43261719 0.43554688 ... 0.04833984 0.06640625 0.06103516],[0.02704033 0.02735584 0.02767577 ... 0.07270504 0.07242523 0.07215007]
[0.38016185 0.91731114 0.75530226 ... 0.41502732 0.38717729 0.45915314],[0.51937943 0.66995555 0.72170508 ... 0.62133953 0.5179682  0.59795532],[0.26627605 0.26699394 0.26775544 ... 0.27593868 0.27604279 0.27614027],"[6.11901287e-06 6.06250389e-01 1.19739713e+01 ... 4.89974108e+00
 2.47124078e+00 1.84135192e+00]","[-25.55468687   0.70195775   7.48204465 ...   2.73381067   1.15550673
   0.38413582]",[0.00214031 0.17047396 0.20458156 ... 0.16151467 0.12925579 0.10472284],"[3985.70286633 2713.01429239 2832.70564042 ... 2138.68425058 2108.56605516
 1924.13570377]","[3353.28400739 3458.58988508 3586.33776054 ... 2707.58740054 2664.22097726
 2517.69885522]","[27.08017876 13.4271337  13.83346532 ... 17.0149918  17.71964898
 18.20251469]",[0.01891636 0.015215   0.00971715 ... 0.01346452 0.01669443 0.01368551],"[8236.45019531 7967.28515625 8118.01757812 ... 5361.76757812 5286.40136719
 4597.33886719]",[0.00272169 0.54237088 1.97032063 ... 1.99560356 1.50068415 1.36797039],"[ 0.0165556   0.00170185 -0.00430413 ... -0.01736528 -0.02599155
 -0.01416331]",[0.30615234 0.33984375 0.36083984 ... 0.07373047 0.07177734 0.05175781],[0.03831293 0.03857494 0.03883715 ... 0.11925487 0.11933371 0.11941394]
[0.89640062 0.67162977 0.5996264  ... 0.59770122 0.49568852 0.47989044],[0.17169261 0.18781839 0.24312653 ... 0.53565908 0.52710751 0.50733847],[0.21766137 0.2221794  0.22677508 ... 0.22890273 0.23184854 0.23471289],"[4.11874379e-10 1.25976402e-08 1.06672976e-07 ... 1.15871899e+01
 1.50756258e+01 1.11519425e+01]","[-24.98994859 -24.98994859 -24.98994859 ...   7.18672822   7.81889905
   8.10522642]","[7.3264459e-06 2.7713200e-05 4.9444898e-05 ... 2.5398996e-01 2.3138806e-01
 2.5007123e-01]","[5225.5850651  5541.04610549 5594.0449825  ... 3629.111433   3332.58635206
 2960.07789327]","[3017.01156303 2866.32611349 2898.54052931 ... 3123.50508237 3118.39856432
 3111.97016629]","[21.72335841 13.46328539 12.69884635 ... 17.60154276 18.6493273
 16.79269023]",[0.3166006  0.41450757 0.37625635 ... 0.07094706 0.02868735 0.01617758],"[8925.51269531 8914.74609375 8936.27929688 ... 7773.48632812 7472.02148438
 7149.0234375 ]","[3.02239603e-05 1.68285222e-04 4.70588295e-04 ... 2.97407700e+00
 2.54211685e+00 2.14580615e+00]","[ 0.15621252  0.09751132  0.05774162 ... -0.04677271 -0.04525337
 -0.04407406]",[0.35449219 0.48974609 0.54589844 ... 0.11914062 0.10107422 0.04443359],[0.05011766 0.05031582 0.05051194 ... 0.08947012 0.08902233 0.0885751 ]
[0.68169177 0.86279005 0.82862358 ... 0.25231752 0.30321719 0.31529916],[0.43546807 0.55691583 0.65247991 ... 0.51241274 0.49557526 0.46753851],[0.23796207 0.23661591 0.23531974 ... 0.2358121  0.23499621 0.234254  ],"[2.27345381e-05 1.07764825e+00 2.31693629e+01 ... 5.52916036e+00
 4.24829224e+00 2.75409525e+00]","[-21.42761369   3.29417345  10.66358288 ...   3.77937799   2.28652516
   0.9194195 ]",[0.00517439 0.23531379 0.29097426 ... 0.15386516 0.13361864 0.12964956],"[5014.58610323 1771.76367573 1488.49570507 ... 2365.54070596 1769.02873555
 1301.91389525]","[3337.67483617 2503.03838339 2323.39923393 ... 2936.88668664 2356.5998928
 1717.54106495]","[28.13347402 13.31903081 12.28773488 ... 20.31674656 21.74216401
 19.52020043]",[0.01769496 0.00695418 0.00315413 ... 0.01226476 0.00640434 0.002229  ],"[9388.4765625  4403.54003906 3789.84375    ... 6578.39355469 3596.04492188
 2142.55371094]",[0.00420405 0.88937678 3.14483519 ... 1.91039592 1.86176876 1.52686996],"[ 0.03824035  0.01908417  0.00716042 ... -0.00034367 -0.01257278
 -0.02432575]",[0.3125     0.32958984 0.33105469 ... 0.07128906 0.07568359 0.05029297],[0.04857282 0.04896406 0.04935678 ... 0.1481285  0.14826467 0.14840641]
[0.4046253  0.40415925 0.21380951 ... 0.14416527 0.14934645 0.19625132],[0.60998735 0.75693131 0.52971361 ... 0.20834131 0.23878968 0.48034367],[0.18900895 0.18498639 0.18118323 ... 0.14984918 0.15049887 0.15119055],"[1.42256301e-07 2.93376742e-04 6.01062168e-03 ... 3.30023594e-04
 2.91662527e-04 2.33189689e-04]","[-31.70264061 -21.49948498 -16.55139118 ... -29.8574864  -28.70471914
 -26.36964893]",[0.00026706 0.00357322 0.00508628 ... 0.00114161 0.0010963  0.00106627],"[2632.28488313 2009.5290064  1647.30643929 ... 1708.28785627 1600.84978656
 1267.18557446]","[2845.68310321 2435.03457617 2252.86390864 ... 2786.28162258 2741.45959792
 2480.76985204]","[24.08679942 14.1812065  15.08579976 ... 22.4799137  18.69299393
 17.59178113]",[0.01881516 0.02369021 0.0073647  ... 0.00074193 0.00086473 0.00076184],"[6653.75976562 4468.13964844 3736.01074219 ... 5200.26855469 4834.20410156
 2250.21972656]",[0.00039445 0.01890064 0.06296207 ... 0.00555802 0.00625309 0.00769703],"[-0.00910837  0.00253756  0.00784326 ...  0.06905101  0.06133938
  0.01662717]",[0.29394531 0.31005859 0.31835938 ... 0.04638672 0.05371094 0.04003906],[0.00897634 0.00903094 0.00908628 ... 0.05424008 0.05462123 0.05501566]
[0.28513628 0.74954381 0.39422588 ... 0.65434225 0.62136421 0.68292359],[0.53151669 0.64312093 0.49954238 ... 0.52744208 0.47918712 0.3865298 ],[0.19444832 0.19127735 0.18820173 ... 0.26159898 0.26212495 0.26239674],"[4.15756823e-09 2.80347125e-04 5.73560222e-03 ... 7.52695700e+00
 7.00985270e+00 5.55734664e+00]","[-27.54640594 -20.09931331 -15.66432373 ...   5.12074942   4.61901877
   4.6082864 ]","[5.7849138e-05 3.4634827e-03 5.1416708e-03 ... 1.9458716e-01 1.7273571e-01
 1.7008059e-01]","[4359.60733555 1184.7406798   901.94654256 ...  385.23682197  397.75098976
  347.00507422]","[3329.37242929 1922.21014328 1633.53992647 ...  614.23476128  726.62840321
  863.18675477]","[24.46605668 12.00068462 13.68935421 ... 19.85923013 15.76754728
 17.36809476]","[1.1600459e-01 2.1709895e-03 5.8621849e-04 ... 4.0057621e-06 2.3813864e-05
 3.7687558e-05]","[8774.78027344 2960.81542969 1787.25585938 ...  710.59570312  742.89550781
  581.39648438]","[7.05362107e-05 1.31317853e-02 4.67865839e-02 ... 1.51912311e+00
 1.57477608e+00 1.52148994e+00]","[-0.02074336 -0.00198171 -0.00632888 ... -0.00079844  0.01093199
  0.03088993]",[0.296875   0.31396484 0.31689453 ... 0.01513672 0.01855469 0.01367188],[0.04034224 0.04108683 0.04184744 ... 0.07832852 0.07807238 0.07782157]
[0.44240977 0.33212991 0.30185205 ... 0.28716997 0.25606301 0.29703021],[0.66162589 0.59918733 0.52417113 ... 0.49626775 0.4979533  0.55718284],[0.26678734 0.2671202  0.26744422 ... 0.21338475 0.21387595 0.2144407 ],[0.07056207 0.10208474 0.14793699 ... 2.75216405 2.36031438 1.78763031],"[-5.55184319 -5.32094482 -6.3949027  ... -7.68037281 -5.8828205
 -1.46926417]",[0.02133525 0.02313038 0.02402353 ... 0.1067651  0.10586618 0.10635285],"[1870.20898218 1764.6825706  1712.57868865 ... 2287.89217558 2433.78123884
 2333.55869853]","[2260.69329212 2051.02393652 1911.30285542 ... 2392.37761352 2457.90701816
 2421.5950296 ]","[22.47020571 17.40490148 23.61476122 ... 27.60593083 23.71744672
 20.22803254]",[0.00837021 0.00697557 0.00177402 ... 0.00235767 0.00298268 0.00916413],"[3682.17773438 3617.578125   3445.3125     ... 5297.16796875 5813.96484375
 5695.53222656]",[0.27705832 0.32184237 0.32830726 ... 1.36123591 1.25152579 1.3759066 ],"[-0.00537902  0.00070377 -0.00028124 ... -0.00146964  0.00213254
 -0.02156522]",[0.04785156 0.06933594 0.09130859 ... 0.11572266 0.11572266 0.09765625],[0.09165903 0.09236633 0.09307714 ... 0.21094378 0.21106817 0.211192  ]
[0.67455013 0.41914786 0.2515047  ... 0.62929285 0.6442149  0.6213372 ],[0.64130486 0.64638135 0.47338132 ... 0.44458246 0.42520983 0.39682457],[0.22493989 0.22395738 0.2231692  ... 0.23203152 0.23391906 0.23577661],"[1.06392090e-08 3.90142073e-04 1.96555006e-02 ... 7.05127105e+00
 6.78748508e+00 4.79521616e+00]","[-25.80367753 -25.08176813 -21.54390083 ...   3.05881232   4.44289414
   5.04856802]","[7.9080652e-05 7.2670332e-03 9.9305315e-03 ... 1.7397414e-01 1.6384996e-01
 1.6089565e-01]","[3942.87181735 1270.47552802  850.27792579 ... 1065.62116775  941.99293694
 1010.11259778]","[3219.40286776 2067.15252317 1620.76991174 ... 2195.27781788 2038.67141127
 2032.83427924]","[24.7131439  12.17221866 15.62348482 ... 21.05847983 19.1312626
 17.72230298]",[0.08711482 0.00181201 0.00023238 ... 0.00063183 0.00043017 0.00064699],"[8107.25097656 2788.54980469 1152.02636719 ... 2239.453125   1991.82128906
 2487.08496094]","[1.22198244e-04 1.29944736e-02 5.93848902e-02 ... 1.23821087e+00
 1.15574657e+00 1.09716674e+00]","[-0.00717156 -0.00539165 -0.00077254 ...  0.02317712  0.03198905
  0.04339965]",[0.30908203 0.33105469 0.33691406 ... 0.02294922 0.02001953 0.01806641],[0.0571223  0.05726389 0.05740681 ... 0.05910731 0.05874677 0.05838874]
[0.59467273 0.57192915 0.5786095  ... 0.23435534 0.24838552 0.42568739],[0.56837796 0.71541445 0.74524667 ... 0.297942   0.33894143 0.42222006],[0.27548191 0.27576822 0.27608579 ... 0.208124   0.20771615 0.20751967],"[2.31209622e-08 1.57953127e-04 2.95497784e-03 ... 1.38933410e+00
 1.33532651e+00 1.13249793e+00]","[-26.32809786 -19.45361368 -13.07638953 ...   1.9407158    1.51410131
   1.44608316]",[0.00017295 0.00275416 0.00470796 ... 0.07815638 0.07543022 0.07503582],"[4321.99286005 3611.30882445 4058.59678742 ... 1442.25268991 1332.73411716
 1296.97691006]","[3058.0056552  3186.83687153 3291.34041054 ... 2223.2401569  2156.16059529
 2149.96805143]","[24.39975784 13.62620893 14.39487064 ... 22.50716954 19.93350745
 20.15095034]",[0.12657578 0.07444342 0.05555635 ... 0.0016584  0.00178783 0.0025173 ],"[8085.71777344 7665.8203125  7902.68554688 ... 3649.87792969 3219.21386719
 3025.41503906]","[2.05376948e-04 1.30129773e-02 4.38263897e-02 ... 8.41724828e-01
 8.48370802e-01 8.48289112e-01]","[-0.04040165  0.00466968 -0.00279464 ... -0.04497117 -0.04182375
 -0.02061203]",[0.328125   0.38671875 0.45410156 ... 0.05615234 0.06152344 0.04199219],[0.0858015  0.08628313 0.08676667 ... 0.16787834 0.1677976  0.1677253 ]
[0.53269764 0.90786936 0.90840152 ... 0.43188643 0.54580019 0.42655833],[0.51022108 0.62821697 0.68334303 ... 0.5239351  0.60880556 0.63672775],[0.22152462 0.21747698 0.21361288 ... 0.23541945 0.23814691 0.24082368],"[9.23800828e-06 8.34560629e-01 1.87403531e+01 ... 5.53301841e+00
 1.79406756e+00 9.16821379e-01]","[-25.198322    -1.54855837   7.16808207 ...   6.40343722   5.96825382
   2.82331497]",[0.00258518 0.204279   0.27857873 ... 0.19870864 0.12707599 0.08583248],"[4197.06026296 1455.1576893  1040.01282974 ... 3128.85052616 3047.9926192
 2181.2832537 ]","[3524.37633257 2377.8885408  2055.49976133 ... 2714.78211799 2612.33535824
 2602.17933853]","[25.12452249  9.52536486  9.77823769 ... 18.67582192 18.92156902
 17.43589468]",[0.01621522 0.0047458  0.00133573 ... 0.03723441 0.04064862 0.00742146],"[8311.81640625 3779.07714844 1970.28808594 ... 6556.86035156 6147.72949219
 5566.33300781]",[0.00291769 0.68830966 2.65248354 ... 2.17664312 1.47977289 0.71491505],"[-0.03590238 -0.00913617 -0.00476435 ...  0.02002203  0.02551162
  0.00406132]",[0.30322266 0.31884766 0.3203125  ... 0.10986328 0.11230469 0.09521484],[0.04003052 0.04031478 0.04060045 ... 0.06730787 0.06721741 0.06712932]
[0.52840776 0.52411103 0.31404175 ... 0.29105806 0.41690884 0.73888498],[0.57244281 0.68185832 0.56596236 ... 0.47944563 0.60325625 0.49194954],[0.26047411 0.25839677 0.25639435 ... 0.25104075 0.24853073 0.2461249 ],"[2.91512036e-09 1.82187430e-02 6.07603675e-01 ... 2.99950270e+00
 1.28031809e+00 5.79441828e-01]","[-25.69833386 -10.96356069  -3.55209285 ...   4.56890258   3.56110622
   2.04533947]","[5.1600786e-05 3.7247241e-02 5.8784496e-02 ... 1.1606528e-01 8.9016810e-02
 6.8924300e-02]","[4482.78998996  704.40780079  584.22967244 ... 2679.99180238 2733.8607205
 2923.34015329]","[3226.41056244 1806.17231463 1543.27038346 ... 2771.64954233 2857.78770351
 2936.16597463]","[21.28447981 16.57200917 16.95912917 ... 17.99678089 15.66857272
 16.18005108]","[2.0550004e-01 4.0624809e-04 1.8025344e-04 ... 3.2886576e-02 4.8344683e-02
 5.3787969e-02]","[8764.01367188  355.29785156  387.59765625 ... 5921.63085938 6319.99511719
 6707.59277344]","[7.57079483e-05 9.26338162e-02 4.97508875e-01 ... 1.56950500e+00
 1.18144564e+00 8.48368014e-01]","[ 0.00052341  0.00528002  0.0063662  ... -0.0164768  -0.00759065
  0.0149939 ]",[0.29492188 0.31005859 0.31787109 ... 0.10205078 0.10400391 0.08007812],[0.08164785 0.08227677 0.08290794 ... 0.09638078 0.09643274 0.09649156]
